Family,Species_1,Species
Agamidae,Agama dodomae,Agama dodomae
Agamidae,Agama montana,Agama montana
Agamidae,Agama mossambica,Agama mossambica
Amphisbaenidae,Ancylocranium ionidesi,Ancylocranium ionidesi
Amphisbaenidae,Chirindia rondoensis,Chirindia rondoensis
Amphisbaenidae,Loveridgea ionidesi,Loveridgea ionidesi
Atractaspididae,Amblyodipsas polylepis,Amblyodipsas polylepis
Atractaspididae,Amblyodipsas teitana,Amblyodipsas teitana
Atractaspididae,Aparallactus capensis,Aparallactus capensis
Atractaspididae,Aparallactus guentheri,Aparallactus guentheri
Atractaspididae,Aparallactus jacksonii,Aparallactus jacksonii
Atractaspididae,Aparallactus lunulatus ,Aparallactus lunulatus
Atractaspididae,Aparallactus werneri,Aparallactus werneri
Atractaspididae,Atractaspis aterrima,Atractaspis aterrima
Atractaspididae,Atractaspis bibronii,Atractaspis bibronii
Chamaeleonidae,Chamaeleo dilepis,Chamaeleo dilepis
Chamaeleonidae,Kinyongia bohemei,Kinyongia bohemei
Chamaeleonidae,Kinyongia fischeri,Kinyongia fischeri
Chamaeleonidae,Kinyongia magomberae,Kinyongia magomberae
Chamaeleonidae,Kinyongia matschiei,Kinyongia matschiei
Chamaeleonidae,Kinyongia multituberculata,Kinyongia multituberculata
Chamaeleonidae,Kinyongia oxyrhina,Kinyongia oxyrhina
Chamaeleonidae,Kinyongia tavetana,Kinyongia tavetana
Chamaeleonidae,Kinyongia tenuis,Kinyongia tenuis
Chamaeleonidae,Kinyongia uluguruensis,Kinyongia uluguruensis
Chamaeleonidae,Kinyongia uthmoelleri ,Kinyongia uthmoelleri
Chamaeleonidae,Kinyongia vosseleri,Kinyongia vosseleri
Chamaeleonidae,Rhampholeon acuminatus,Rhampholeon acuminatus
Chamaeleonidae,Rhampholeon beraduccii,Rhampholeon beraduccii
Chamaeleonidae,Rhampholeon colemani,Rhampholeon colemani
Chamaeleonidae,Rhampholeon moyeri,Rhampholeon moyeri
Chamaeleonidae,Rhampholeon nicolai ,Rhampholeon nicolai
Chamaeleonidae,Rhampholeon princeeai,Rhampholeon princeeai
Chamaeleonidae,Rhampholeon rubeho,Rhampholeon rubeho
Chamaeleonidae,Rhampholeon sabini,Rhampholeon sabini
Chamaeleonidae,Rhampholeon spinosus,Rhampholeon spinosus
Chamaeleonidae,Rhampholeon temporalis,Rhampholeon temporalis
Chamaeleonidae,Rhampholeon uluguruensis ,Rhampholeon uluguruensis 
Chamaeleonidae,Rhampholeon viridis,Rhampholeon viridis
Chamaeleonidae,Rhampholeon waynelotteri ,Rhampholeon waynelotteri
Chamaeleonidae,Rieppeleon brachyurus,Rieppeleon brachyurus
Chamaeleonidae,Rieppeleon brevicaudatus,Rieppeleon brevicaudatus
Chamaeleonidae,Rieppeleon kerstenii,Rieppeleon kerstenii
Chamaeleonidae,Trioceros deremensis,Trioceros deremensis
Chamaeleonidae,Trioceros goetzei,Trioceros goetzei
Chamaeleonidae,Trioceros laterispinis,Trioceros laterispinis
Chamaeleonidae,Trioceros melleri,Trioceros melleri
Chamaeleonidae,Trioceros tempeli,Trioceros tempeli
Chamaeleonidae,Trioceros werneri,Trioceros werneri
Colubridae,Crotaphopeltis hotamboeia,Crotaphopeltis hotamboeia
Colubridae,Crotaphopeltis tornieri,Crotaphopeltis tornieri
Colubridae,Dasypeltis medici,Dasypeltis medici
Colubridae,Dasypeltis scabra,Dasypeltis scabra
Colubridae,Dipsadoboa aulica,Dipsadoboa aulica
Colubridae,Dipsadoboa flavida,Dipsadoboa flavida
Colubridae,Dipsadoboa werneri,Dipsadoboa werneri
Colubridae,Dispholidus typus,Dispholidus typus
Colubridae,Meizodon semiornatus,Meizodon semiornatus
Colubridae,Natriciteres olivacea,Natriciteres olivacea
Colubridae,Natriciteres sylvatica,Natriciteres sylvatica
Colubridae,Philothamnus angolensis,Philothamnus angolensis
Colubridae,Philothamnus hoplogaster,Philothamnus hoplogaster
Colubridae,Philothamnus macrops,Philothamnus macrops
Colubridae,Philothamnus punctatus,Philothamnus punctatus
Colubridae,Philothamnus semivariegatus,Philothamnus semivariegatus
Colubridae,Telescopus semiannulatus,Telescopus semiannulatus
Colubridae,Thelotornis mossambicanus,Thelotornis mossambicanus
Colubridae,Thelotornis usambaricus,Thelotornis usambaricus
Colubridae,Xyelodontophis uluguruensis,Xyelodontophis uluguruensis
Cordylidae,Cordylus tropidosternum,Cordylus tropidosternum
Cordylidae,Cordylus ukingensis,Cordylus ukingensis
Crocodylidae,Crocodylus niloticus,Crocodylus niloticus
Elapidae,Dendroaspis angusticeps,Dendroaspis angusticeps
Elapidae,Dendroaspis polylepis,Dendroaspis polylepis
Elapidae,Elapsoidea nigra,Elapsoidea nigra
Elapidae,Naja mossambica,Naja mossambica
Elapidae,Naja nigricollis,Naja nigricollis
Elapidae,Naja subfulva,Naja subfulva
Gekkonidae,Ancylodactylus africana,Ancylodactylus africana
Gekkonidae,Ancylodactylus barbouri,Ancylodactylus barbouri
Gekkonidae,Ancylodactylus uzungwae,Ancylodactylus uzungwae
Gekkonidae,Elasmodactylus tuberculosus,Elasmodactylus tuberculosus
Gekkonidae,Hemidactylus angulatus,Hemidactylus angulatus
Gekkonidae,Hemidactylus mabouia,Hemidactylus mabouia
Gekkonidae,Hemidactylus platycephalus,Hemidactylus platycephalus
Gekkonidae,Hemidactylus squamulatus,Hemidactylus squamulatus
Gekkonidae,Homopholis fasciata,Homopholis fasciata
Gekkonidae,Lygodactylus broadleyi,Lygodactylus broadleyi
Gekkonidae,Lygodactylus capensis,Lygodactylus capensis
Gekkonidae,Lygodactylus conradti,Lygodactylus conradti
Gekkonidae,Lygodactylus gravis,Lygodactylus gravis
Gekkonidae,Lygodactylus grotei,Lygodactylus grotei
Gekkonidae,Lygodactylus kimhowelli,Lygodactylus kimhowelli
Gekkonidae,Lygodactylus mombassicus,Lygodactylus mombassicus
Gekkonidae,Lygodactylus picturatus,Lygodactylus picturatus
Gekkonidae,Lygodactylus scheffleri uluguruensis,Lygodactylus scheffleri uluguruensis
Gekkonidae,Lygodactylus viscatus,Lygodactylus viscatus
Gekkonidae,Lygodactylus williamsi,Lygodactylus williamsi
Gekkonidae,Phelsuma dubia,Phelsuma dubia
Gekkonidae,Urocotyledon rasmusseni,Urocotyledon rasmusseni
Gekkonidae,Urocotyledon wolterstorffi,Urocotyledon wolterstorffi
Gerrhosauridae,Broadleysaurus major,Broadleysaurus major
Gerrhosauridae,Gerrhosaurus flavigularis,Gerrhosaurus flavigularis
Gerrhosauridae,Gerrhosaurus nigrolineatus,Gerrhosaurus nigrolineatus
Gerrhosauridae,Tetradactylus udzungwensis,Tetradactylus udzungwensis
Lacertidae,Adolfus cf jacksoni,Adolfus cf jacksoni
Lacertidae,Gastropholis prasina,Gastropholis prasina
Lacertidae,Gastropholis vittata,Gastropholis vittata
Lacertidae,Heliobolus neumanni,Heliobolus neumanni
Lacertidae,Heliobolus spekii,Heliobolus spekii
Lacertidae,Holaspis laevis,Holaspis laevis
Lacertidae,Latastia longicaudata ,Latastia longicaudata
Lacertidae,Nucras boulengeri,Nucras boulengeri
Lamprophiidae,Boaedon fuliginosus,Boaedon fuliginosus
Lamprophiidae,Buhoma procterae,Buhoma procterae
Lamprophiidae,Buhoma vauerocegae,Buhoma vauerocegae
Lamprophiidae,Gracililima nyassae,Gracililima nyassae
Lamprophiidae,Limaformosa capensis,Limaformosa capensis
Lamprophiidae,Lycodonomorphus whytii,Lycodonomorphus whytii
Lamprophiidae,Lycophidion capense,Lycophidion capense
Lamprophiidae,Lycophidion depressirostre,Lycophidion depressirostre
Lamprophiidae,Lycophidion meleagre,Lycophidion meleagre
Lamprophiidae,Lycophidion uzungwense,Lycophidion uzungwense
Leptotyphlopidae,Leptotyphlops howelli,Leptotyphlops howelli
Leptotyphlopidae,Leptotyphlops macrops,Leptotyphlops macrops
Leptotyphlopidae,Leptotyphlops merkeri,Leptotyphlops merkeri
Pelomedusidae,Pelusios castanoides,Pelusios castanoides
Prosymnidae,Prosymna ornatissima,Prosymna ornatissima
Prosymnidae,Prosymna semifasciata,Prosymna semifasciata
Prosymnidae,Prosymna stuhlmanni,Prosymna stuhlmanni
Psammophiidae,Hemirhagerrhis nototaenia,Hemirhagerrhis nototaenia
Psammophiidae,Psammophis biseriatus,Psammophis biseriatus
Psammophiidae,Psammophis mossambicus,Psammophis mossambicus
Psammophiidae,Psammophis orientalis,Psammophis orientalis
Psammophiidae,Psammophis sudanensis,Psammophis sudanensis
Psammophiidae,Psammophylax variabilis,Psammophylax variabilis
Psammophiidae,Rhamphiophis rostratus,Rhamphiophis rostratus
Psammophiidae,Rhamphiophis rubropunctatus,Rhamphiophis rubropunctatus
Pseudoxyrhophiidae,Duberria lutrix,Duberria lutrix
Pythonidae,Python natalensis,Python natalensis
Pythonidae,Python sebae,Python sebae
Scincidae,Leptosiaphos kilimensis,Leptosiaphos kilimensis
Scincidae,Leptosiaphos rhomboidalis,Leptosiaphos rhomboidalis
Scincidae,Lygosoma sundevalli,Lygosoma sundevalli
Scincidae,Melanoseps loveridgei,Melanoseps loveridgei
Scincidae,Melanoseps rondoensis,Melanoseps rondoensis
Scincidae,Melanoseps uzungwensis,Melanoseps uzungwensis
Scincidae,Panaspis wahlbergii,Panaspis wahlbergii
Scincidae,Proscelotes eggeli,Proscelotes eggeli
Scincidae,Scelotes uluguruensis,Scelotes uluguruensis
Scincidae,Scolecoseps litipoensis,Scolecoseps litipoensis
Scincidae,Sepsina tetradactyla,Sepsina tetradactyla
Scincidae,Trachylepis boulengeri,Trachylepis boulengeri
Scincidae,Trachylepis brevicollis,Trachylepis brevicollis
Scincidae,Trachylepis maculilabris,Trachylepis maculilabris
Scincidae,Trachylepis margaritifera,Trachylepis margaritifera
Scincidae,Trachylepis megalura,Trachylepis megalura
Scincidae,Trachylepis planifrons,Trachylepis planifrons
Scincidae,Trachylepis striata,Trachylepis striata
Scincidae,Trachylepis varia,Trachylepis varia
Testudinidae,Kinixys belliana,Kinixys belliana
Testudinidae,Stigmochelys pardalis,Stigmochelys pardalis
Typhlopidae,Afrotyphlops gierrai,Afrotyphlops gierrai
Typhlopidae,Afrotyphlops lineolatus,Afrotyphlops lineolatus
Typhlopidae,Afrotyphlops mucruso,Afrotyphlops mucruso
Typhlopidae,Afrotyphlops nigrocandidus,Afrotyphlops nigrocandidus
Typhlopidae,Afrotyphlops rondoensis,Afrotyphlops rondoensis
Typhlopidae,Afrotyphlops usambaricus,Afrotyphlops usambaricus
Typhlopidae,Indotyphlops braminus,Indotyphlops braminus
Typhlopidae,Letheobia lumbriciformis,Letheobia lumbriciformis
Typhlopidae,Letheobia uluguruensis,Letheobia uluguruensis
Typhlopidae,Rhinotyphlops unitaeniatus,Rhinotyphlops unitaeniatus
Varanidae,Varanus niloticus,Varanus niloticus
Viperidae,Atheris barbouri,Atheris barbouri
Viperidae,Atheris ceratophora,Atheris ceratophora
Viperidae,Bitis arietans,Bitis arietans
Viperidae,Bitis gabonica,Bitis gabonica
Viperidae,Causus defilippii,Causus defilippii